# https://physics.nist.gov/cgi-bin/ASD/lines1.pl?# spectra=Xe# &low_w=200# &upp_w=1000# air wavelengths, in nmName,Obs_Wave,Obs_Unc,Ritz_Wave,Ritz_Unc,Obs-Ritz,Rel_Intensity,Flag,Calibd_Intensity,Calib_Conf
XeIV,200.036,0.001,200.036,0.001,0.0,4,,,F
XeIII,200.1085,0.005,200.1076,0.0001,0.0009,1,,,
XeIII,200.6317,0.005,200.6326,0.0001,-0.0009,4,,,
XeIII,201.3859,0.005,201.3854,0.0001,0.0005,8,,,
XeIV,201.427,0.001,201.425,0.001,0.002,6,,,
XeIII,201.6174,0.005,201.6163,0.0001,0.0011,2,,,
XeIII,201.7911,0.005,201.7901,0.0001,0.001,2,,,
XeIII,201.8714,0.005,201.8712,0.0001,0.0002,5,,,
XeIII,202.0914,0.005,202.091,0.0001,0.0004,6,,,
XeVIII,202.1,0.06,202.11,0.01,-0.01,0,,,
XeII,202.114,0.01,202.1133,0.0001,0.001,1,,,
XeIII,202.1304,0.005,202.1313,0.0001,-0.0009,2,,,
XeV,202.435,0.001,202.43,0.001,0.005,2,,,
XeIV,202.606,0.001,202.606,0.001,0.0,11,,,
XeIII,202.6062,0.005,202.6031,0.0001,0.0031,10,,,
XeIII,202.9023,0.005,202.9022,0.0001,0.0001,8,,,
XeIII,202.9216,0.005,202.924,0.0001,-0.0024,9,,,
XeV,202.975,0.001,202.972,0.001,0.003,8,,,
XeIV,203.081,0.001,203.075,0.001,0.006,1,,,
XeIII,203.1996,0.005,203.1996,0.0001,0.0,8,,,
XeV,203.256,0.001,203.255,0.001,0.001,6,,,
XeII,203.616,0.01,203.6201,0.0001,-0.004,0,a,,
XeIII,203.767,0.005,203.7667,0.0001,0.0003,7,,,
XeIII,203.8394,0.005,203.8381,0.0001,0.0013,6,,,
XeIII,203.9314,0.005,203.9305,0.0001,0.0009,7,,,
XeII,204.042,0.01,204.0431,0.0001,-0.001,0,,,
XeV,204.086,0.001,204.084,0.001,0.002,5,,,
XeIV,204.108,0.001,204.107,0.001,0.001,9,,,
XeIII,204.1276,0.005,204.1279,0.0001,-0.0003,1,,,
XeIV,204.15,0.001,204.149,0.001,0.001,8,,,
XeIII,204.3286,0.005,204.3283,0.0001,0.0003,2,,,
XeII,204.346,0.01,204.3482,0.0001,-0.002,0,a,,
XeIII,204.443,0.005,204.4429,0.0001,0.0001,1,,,
XeIV,204.616,0.001,204.617,0.001,-0.001,10,,,
XeIII,204.6555,0.005,204.6555,0.0001,0.0,8,,,
XeIV,205.042,0.001,205.042,0.001,0.0,9,,,
XeIII,205.1875,0.005,205.1865,0.0001,0.001,7,,,
XeIII,205.2166,0.005,205.2164,0.0001,0.0002,5,,,
XeIII,205.2729,0.005,205.2733,0.0001,-0.0004,8,,,
XeII,205.3697,0.001,205.3739,0.0001,-0.0042,0,,,
XeIV,205.444,0.001,205.443,0.001,0.001,9,,,
XeIII,205.5034,0.005,205.5051,0.0001,-0.0017,6,,,
XeIII,206.0385,0.005,206.0389,0.0001,-0.0004,0,,,
XeIV,206.07,0.001,206.071,0.001,-0.001,4,,,
XeIII,206.0702,0.005,206.0699,0.0001,0.0003,3,,,
XeIV,206.305,0.001,206.309,0.001,-0.004,1,,,
XeIV,206.305,0.001,206.306,0.001,-0.001,1,,,
XeII,206.555,0.01,206.5557,0.0001,-0.001,0,,,
XeIII,206.7175,0.005,206.7178,0.0001,-0.0003,9,,,
XeIII,206.7384,0.005,206.739,0.0001,-0.0006,7,,,
